name,latitude,longitude
Le Concorde,48.8479251758603,2.298827183628
Diamond Pearl,3.14412690654348,101.625283327927
Emerald Bay,18.6203,108.7114
Rosa Del Inca,-34.6037,-58.3816
Purple Coral,-8.4095,115.1889
L'Amethyste,43.2702,6.6407
Amazonite Resort,-22.9068,-43.1729
Sapphire Bay,-33.9249,18.4241
Tanzanite Resort,-2.3333,34.8333
Tambarare Kubwa Hotel,-1.286389,36.817223
Golden Palace,45.4408,12.3155
Jade Crown,31.2304,121.4737
Imperial Topaz,39.9042,116.4074
Ruby Oasis,31.6295,-7.9811
Opal Tower,25.2048,55.2708
Sapphire Nile,30.0444,31.2357
Coral Reef,-33.8688,151.2093
Amber Blossom,35.0116,135.7681
Diamond Blossom,35.6762,139.6503
Emerald Horizon,38.7223,-9.1393
Onyx Garden,41.3851,2.1734
Amber Pearl,41.0082,28.9784
Aquamarine Palace,40.6401,22.9444
Siberian Opal,55.7558,37.6173
Royal Sapphire,51.5074,-0.1278
Arctic Pearl,59.9139,10.7522
Coral Gem,-13.3188,48.22
Crystal Lagoon,3.2028,73.2207
Empire Emerald,40.7128,-74.006
Pacific Garnet,-17.5516,-149.5585
Pearl Coast,-31.9505,115.8605
Lion's Eye,1.3521,103.8198
