port_name,latitude,longitude
Port of Shanghai,31.2304,121.4737
Port of Abu Dhabi,24.4666666666667,54.3666666666667
Port of Ar Ruways,24.1166666666667,52.7333333333333
Port of Khor al Fakkan,25.3333333333333,56.35
Port of Mina Khalid,25.35,55.3666666666667
Port of Mina Khalifa/Abu Dhabi,24.8333333333333,54.6666666666667
Port of Umm al Qaiwain,25.5666666666667,55.55
Port of Saint John's,17.1166666666667,-61.85
Port of Bahia Blanca,-38.7166666666667,-62.2833333333333
Port of Buenos Aires,-34.5833333333333,-58.6666666666667
Port of Mar del Plata,-38.05,-57.5333333333333
Port of Puerto Deseado,-47.75,-65.9
Port of Puerto Madryn,-42.75,-65.0333333333333
Port of Rosario,-32.95,-60.65
Port of San Antonio Este,-40.8,-64.7333333333333
Port of Ushuaia,-54.8,-68.3
Port of Zarate,-34.1,-59.0333333333333
Port of Pago Pago,14.2666666666667,-170.7
Port of Adelaide,-34.9166666666667,138.583333333333
Port of Brisbane,-27.4666666666667,153.016666666667
Port of Darwin,-12.45,130.833333333333
Port of Melbourne,-37.8166666666667,144.966666666667
Port of Sydney,-33.85,151.2
Port of Barcadera,12.4833333333333,-69.9833333333333
Port of Chattogram,22.3333333333333,91.8333333333333
Port of Antwerpen,51.2166666666667,4.41666666666667
Port of Gent (Ghent),51.05,3.71666666666667
Port of Zeebrugge,51.3333333333333,3.2
Port of Mina Sulman Port,26.2,50.6166666666667
Port of Kralendijk,12.15,-68.2666666666667
Port of Itaguai,-22.8666666666667,-43.7666666666667
Port of Itapoa,-26.1166666666667,-48.6
Port of Navegantes,-26.9,-48.65
Port of Paranagua,-25.5166666666667,-48.5
Port of Pecem Pt/Sao Goncalo do Amarante,-3.53333333333333,-38.8666666666667
Port of Rio de Janeiro,-22.8833333333333,-43.2333333333333
Port of Santana Pt./Macapa,-0.05,-51.1666666666667
Port of Santos,-23.95,-46.3333333333333
Port of Sao Luis,-2.5,-44.3
Port of Vitoria Pt,-20.3166666666667,-40.3333333333333
Port of Nassau,25.0833333333333,-77.35
Port of Big Creek,16.5166666666667,-88.4
Port of Argentia,47.3,-54
Port of Saint-John,45.2666666666667,-66.0666666666667
Port of Saint-John's,47.5666666666667,-52.7333333333333
Port of Banana,-6.0036332669308,12.401211892732
Port of Pointe Noire,-4.8,11.85
Port of Abidjan,5.33333333333333,-4.01666666666667
Port of San-Pedro,4.73333333333333,-6.61666666666667
Port of Antofagasta,-23.6333333333333,-70.3833333333333
Port of Arica,-18.4833333333333,-70.3166666666667
Port of Coronel,-37.0166666666667,-73.15
Port of Iquique,-20.2166666666667,-70.1333333333333
Port of Lirquen,-36.7,-72.9833333333333
Port of Mejillones,-23.1,-70.45
Port of Puerto Angamos,-23.0833333333333,-70.45
Port of Punta Arenas,-53.1333333333333,-70.9333333333333
Port of San Antonio,-33.6,-71.6
Port of San Vicente,-36.7,-73.1333333333333
Port of Valparaiso,-33.0333333333333,-71.6333333333333
Port of Caofeidian Pt,38.95,118.533333333333
Port of DA CHAN BAY,22.5333333333333,113.866666666667
Port of Dongguan Pt,23.0333333333333,113.75
Port of Dongjiangkou,35.3088853315823,119.522539826183
Port of Fuqing,25.7166666666667,119.366666666667
Port of Huizhou Pt,23.0833333333333,114.366666666667
Port of Humen Pt,22.8333333333333,113.666666666667
Port of Jiangyin,25.4666666666667,119.3
Port of Jinzhou Pt,41.1166666666667,121.15
Port of Lianyungang,34.7166666666667,119.433333333333
Port of Nansha Pt,22.75,113.583333333333
Port of Nantong Pt,32.0166666666667,120.85
Port of Qinhuangdao Pt,39.9166666666667,119.583333333333
Port of Quanzhou Pt,24.9333333333333,118.6
Port of Rizhao Pt,35.3833333333333,119.533333333333
Port of Shekou Pt,22.4833333333333,113.916666666667
Port of Shidao Pt,36.8666666666667,122.433333333333
Port of Waihai,22.5833333333333,113.133333333333
Port of Weifang Pt,36.7166666666667,119.1
Port of Weihai,37.5166666666667,122.116666666667
Port of Yangpu Pt,19.7,109.2
Port of Yantian Pt,26.85,119.866666666667
Port of Yingkou Pt,40.65,122.216666666667
Port of Zhangjiagang,31.8666666666667,120.533333333333
Port of Zhangzhou Pt,24.5166666666667,117.65
Port of Zhuhai Pt,22.2833333333333,113.566666666667
Port of Leticia,-4.21666666666667,-69.9333333333333
Port of Tolu,9.53333333333333,-75.5833333333333
Port of Turbo,8.08333333333333,-76.7166666666667
Port of Caldera,9.95,-84.7166666666667
Port of Moin,10.0,-83.0833333333333
Port of Puerto Limon,10.0,-83.0333333333333
Port of Mariel,23.0,-82.75
Port of Mindelo,16.8833333333333,-25
Port of Willemstad,12.1,-68.9166666666667
Port of Flying Fish Cove,-10.4166666666667,105.716666666667
Port of Limassol,34.6833333333333,33.05
Port of Brake,53.3333333333333,8.48333333333333
Port of Cuxhaven,53.8833333333333,8.7
Port of Emden,53.3666666666667,7.21666666666667
Port of Kiel,54.3333333333333,10.1333333333333
Port of Rostock,54.0833333333333,12.1333333333333
Port of Wilhelmshaven,53.5166666666667,8.13333333333333
Port of Aarhus,56.15,10.2166666666667
Port of Kobenhavn,55.6666666666667,12.5833333333333
Port of Caucedo,18.4166666666667,-69.6333333333333
Port of Manzanillo,19.7,-71.75
Port of Alger (Algiers),36.75,3.05
Port of Arzew,35.8666666666667,-0.316666666666667
Port of Ghazaouet,35.1,-1.85
Port of Esmeraldas,0.983333333333333,-79.7
Port of Guayaquil,-2.16666666666667,-79.9
Port of Posorja,-2.7,-80.25
Port of Puerto Bolivar,-3.26666666666667,-79.9833333333333
Port of Kunda,59.5166666666667,26.5333333333333
Port of Muuga,59.5,24.9666666666667
Port of Paldiski,59.35,24.05
Port of Tallinn,59.4333333333333,24.7333333333333
Port of Dumyat (Damietta),31.4166666666667,31.8166666666667
Port of El Iskandariya (Alexandria),31.1833333333333,29.9166666666667
Port of Sokhna Port,29.65,32.35
Port of Massawa (Mitsiwa),15.6,39.45
Port of Almeria,36.8333333333333,-2.45
Port of Bilbao,43.25,-2.96666666666667
Port of Cartagena,37.6,-0.983333333333333
Port of Castellon de la Plana,39.9833333333333,-0.033333333333333
Port of Ferrol,43.4833333333333,-8.25
Port of Gijon,43.5333333333333,-5.66666666666667
Port of Lanzarote,28.9666666666667,-13.5333333333333
Port of Las Palmas de Gran Canaria,28.1,-15.4166666666667
Port of Malaga,36.7166666666667,-4.41666666666667
Port of Melilla,35.3166666666667,-2.88333333333333
Port of Sagunto,39.6833333333333,-0.266666666666667
Port of Santa Cruz de La Palma,28.6833333333333,-17.7666666666667
Port of Villagarcia de Arosa,42.6,-8.75
Port of Abo (Turku),60.45,22.2833333333333
Port of Turku (Abo),60.45,22.2833333333333
Port of Bjorneborg (Pori),61.4833333333333,21.8
Port of Pori (Bjorneborg),61.4833333333333,21.8
Port of Fredrikshamn (Hamina),60.5666666666667,27.2
Port of Hamina (Fredrikshamn),60.5666666666667,27.2
Port of Jakobstad (Pietarsaari),63.6833333333333,22.7833333333333
Port of Pietarsaari (Jakobstad),63.6833333333333,22.7833333333333
Port of Karleby (Kokkola),63.8333333333333,23.1166666666667
Port of Kokkola (Karleby),63.8333333333333,23.1166666666667
Port of Kemi/Tornea (Kemi/Tornio),65.7333333333333,24.5666666666667
Port of Kemi/Tornio (Kemi/Tornea),65.7333333333333,24.5666666666667
Port of Kotka,60.4666666666667,26.9166666666667
Port of Rauma (Raumo),61.1333333333333,21.5
